Ticker,Company,Year,Revenue,EBIT,FCF,CapEx,SBC
LITE,Lumentum Holdings Inc.,2018,301100000.0,20900000,154300000.0,93200000.0,46800000
LITE,Lumentum Holdings Inc.,2019,404600000.0,-13800000,164100000.0,166000000.0,60700000
LITE,Lumentum Holdings Inc.,2020,,27000000,438300000.0,86000000.0,73200000
LITE,Lumentum Holdings Inc.,2021,,45800000,653900000.0,84800000.0,92900000
LITE,Lumentum Holdings Inc.,2022,,303300000,368100000.0,91200000.0,103100000
LITE,Lumentum Holdings Inc.,2023,,-115700000,51300000.0,128500000.0,148400000
LITE,Lumentum Holdings Inc.,2024,,-434000000,-108300000.0,133000000.0,128800000
LITE,Lumentum Holdings Inc.,2025,,-180100000,-104700000.0,231000000.0,177200000
MU,"Micron Technology, Inc.",2018,8440000000.0,4377000000,8521000000.0,8879000000.0,198000000
MU,"Micron Technology, Inc.",2019,,650000000,3409000000.0,9780000000.0,243000000
MU,"Micron Technology, Inc.",2020,,1157000000,83000000.0,8223000000.0,328000000
MU,"Micron Technology, Inc.",2021,,6283000000,2438000000.0,10030000000.0,378000000
MU,"Micron Technology, Inc.",2022,,9702000000,3114000000.0,12067000000.0,514000000
MU,"Micron Technology, Inc.",2023,,-5745000000,-6117000000.0,7676000000.0,596000000
MU,"Micron Technology, Inc.",2024,,1304000000,121000000.0,8386000000.0,833000000
MU,"Micron Technology, Inc.",2025,,9770000000,1668000000.0,15857000000.0,972000000
NVDA,NVIDIA CORP,2018,2911000000.0,3210000000,,,391000000
NVDA,NVIDIA CORP,2019,,3804000000,,,557000000
NVDA,NVIDIA CORP,2020,,2846000000,,,844000000
NVDA,NVIDIA CORP,2021,,4532000000,,,1397000000
NVDA,NVIDIA CORP,2022,26914000000.0,10041000000,,,2004000000
NVDA,NVIDIA CORP,2023,26974000000.0,4224000000,,,2709000000
NVDA,NVIDIA CORP,2024,60922000000.0,32972000000,,,3549000000
NVDA,NVIDIA CORP,2025,130497000000.0,81453000000,,,4737000000
PLTR,Palantir Technologies Inc.,2020,,-1173679000,-308844000.0,12236000.0,1270702000
PLTR,Palantir Technologies Inc.,2021,,-411046000,321224000.0,12627000.0,778215000
PLTR,Palantir Technologies Inc.,2022,,-161201000,183710000.0,40027000.0,564798000
PLTR,Palantir Technologies Inc.,2023,,119966000,697069000.0,15114000.0,475903000
PLTR,Palantir Technologies Inc.,2024,,310403000,1141231000.0,12634000.0,691638000
