Ticker,Company,Year,MktCap_USD,Revenue,EBIT,FCF,CapEx,SBC,SharesDiluted
AAPL,Apple Inc.,2021,,3.6582E+11,1.08949E+11,92953000000,11085000000,7906000000,
AAPL,Apple Inc.,2022,,3.9433E+11,1.19437E+11,1.11443E+11,10708000000,9038000000,
AAPL,Apple Inc.,2023,,3.8329E+11,1.14301E+11,99584000000,10959000000,10833000000,
AAPL,Apple Inc.,2024,,3.9104E+11,1.23216E+11,1.08807E+11,9447000000,11688000000,
AAPL,Apple Inc.,2025,4E+12,4.1616E+11,1.3305E+11,98767000000,12715000000,12863000000,
AMD,"ADVANCED MICRO DEVICES, INC",2021,,16430000000,3648000000,3220000000,301000000,379000000,
AMD,"ADVANCED MICRO DEVICES, INC",2022,,23600000000,1264000000,3115000000,450000000,1081000000,
AMD,"ADVANCED MICRO DEVICES, INC",2023,,22680000000,401000000,1121000000,546000000,1384000000,
AMD,"ADVANCED MICRO DEVICES, INC",2024,,25790000000,1900000000,2405000000,636000000,1407000000,
AMD,"ADVANCED MICRO DEVICES, INC",2025,3.4995E+11,32020000000,3030000000,5450000000,960000000,3656000000,
HOOD,"Robinhood Markets, Inc.",2021,,1815143000,-3684432000,-947955000,63182000,1570386000,
HOOD,"Robinhood Markets, Inc.",2022,,1358000000,-1027000000,-880000000,28000000,654000000,
HOOD,"Robinhood Markets, Inc.",2023,,1865000000,-533000000,520000000,21000000,871000000,
HOOD,"Robinhood Markets, Inc.",2024,,2951000000,1064000000,-2500000000,50000000,304000000,
HOOD,"Robinhood Markets, Inc.",2025,1.1003E+11,4230000000,6.43E+11,-4360000000,56000000,757000000,
LITE,Lumentum Holdings Inc.,2021,,1740000000,45800000,653900000,84800000,92900000,
LITE,Lumentum Holdings Inc.,2022,,1710000000,303300000,368100000,91200000,103100000,
LITE,Lumentum Holdings Inc.,2023,,1770000000,-115700000,51300000,128500000,148400000,
LITE,Lumentum Holdings Inc.,2024,,1360000000,-434000000,-108300000,133000000,128800000,
LITE,Lumentum Holdings Inc.,2025,22420000000,1650000000,-180100000,-104700000,231000000,177200000,
MO,"Altria Group, Inc.",2021,,21110000000,11560000000,8236000000,169000000,0,
MO,"Altria Group, Inc.",2022,,20690000000,11919000000,8051000000,205000000,0,
MO,"Altria Group, Inc.",2023,,20500000000,11547000000,9091000000,196000000,0,
MO,"Altria Group, Inc.",2024,,20440000000,11241000000,8611000000,142000000,0,
MO,"Altria Group, Inc.",2025,98390000000,20170000000,12010000000,9190000000,171000000,0,
MSFT,MICROSOFT CORPORATION,2021,,1.6809E+11,69916000000,56118000000,20622000000,6118000000,
MSFT,MICROSOFT CORPORATION,2022,,1.9827E+11,83383000000,65149000000,23886000000,7502000000,
MSFT,MICROSOFT CORPORATION,2023,,2.1191E+11,88523000000,59475000000,28107000000,9611000000,
MSFT,MICROSOFT CORPORATION,2024,,2.4512E+11,1.09433E+11,74071000000,44477000000,10734000000,
MSFT,MICROSOFT CORPORATION,2025,3.6E+12,2.9381E+11,1.28528E+11,71611000000,64551000000,11974000000,
MU,"Micron Technology, Inc.",2021,,27700000000,6283000000,2438000000,10030000000,378000000,
MU,"Micron Technology, Inc.",2022,,30760000000,9702000000,3114000000,12067000000,514000000,
MU,"Micron Technology, Inc.",2023,,15540000000,-5745000000,-6117000000,7676000000,596000000,
MU,"Micron Technology, Inc.",2024,,25110000000,1304000000,121000000,8386000000,833000000,
MU,"Micron Technology, Inc.",2025,261660000000.00003,37380000000,9770000000,1668000000,15857000000,972000000,
NVDA,NVIDIA CORP,2021,,26910000000,4532000000,8130000000,976000000,1397000000,
NVDA,NVIDIA CORP,2022,,26914000000,10041000000,3810000000,1830000000,2004000000,
NVDA,NVIDIA CORP,2023,,60920000000,4224000000,27020000000,1070000000,2709000000,
NVDA,NVIDIA CORP,2024,,1.305E+11,32972000000,60850000000,3240000000,3549000000,
NVDA,NVIDIA CORP,2025,4.15E+12,1.8714E+11,81453000000,77320000000,5830000000,4737000000,
PLTR,Palantir Technologies Inc.,2021,,1541889000,-411046000,321224000,12627000,778215000,
PLTR,Palantir Technologies Inc.,2022,,1905871000,-161201000,183710000,40027000,564798000,
PLTR,Palantir Technologies Inc.,2023,,2225012000,119966000,697069000,15114000,475903000,
PLTR,Palantir Technologies Inc.,2024,,2865507000,310403000,1141231000,12634000,691638000,
PLTR,Palantir Technologies Inc.,2025,4.4749E+11,3900000000,850000000,1790000000,23000000,770000000,
