Profile,Ticker,Company,MaxYear,WindowYears,WindowStartYear,Score_0to100,Rating,FCF/Rev_Avg,FCF/Rev_Min,EBIT/Rev_Avg,CapEx/Rev_Avg,MC/Rev,MC/FCF,Rev_CAGR,S_FCFMargin_Avg,S_FCFMargin_Min,S_EBITMargin_Avg,S_CapExOverRev_Avg,S_PS_Latest,S_PFCF_Latest,S_Rev_CAGR,FCF_CAGR,SBC/Rev_Avg,S_FCF_CAGR,S_SBCOverRev_Avg,EBIT/Rev_Min,S_EBITMargin_Min
CYCLE,LITE,Lumentum Holdings,2025,5,2021,42,D,0.093,-0.081,-0.001,0.084,13.588,,-0.013,2.333,2.333,1,2.333,3.667,,1,,,,,,
CYCLE,MU,Micron Technology,2025,5,2021,43,D,-0.031,-0.394,0.109,0.401,7,156.683,0.078,1,1,3.667,1,5,3,2.333,,,,,,
CYCLE,NVDA,Nvidia,2025,5,2021,92,A,0.353,0.141,0.467,0.036,22.176,53.673,0.624,5,5,5,3.667,2.333,5,5,,,,,,
CYCLE,PLTR,Palantir,2025,5,2021,61,C,0.294,0.094,0.006,0.009,114.741,249.994,0.261,3.667,3.667,2.333,5,1,1,3.667,,,,,,
SW,LITE,Lumentum Holdings,2025,5,2021,50,D,0.093,,-0.001,,13.588,,-0.013,2.333,,1,,3.667,,1,,0,,5,,
SW,MU,Micron Technology,2025,5,2021,55,C,-0.031,,0.109,,7,156.683,0.078,1,,3.667,,5,3,2.333,-0.090,0,1,5,,
SW,NVDA,Nvidia,2025,5,2021,92,A,0.353,,0.467,,22.176,53.673,0.624,5,,5,,2.333,5,5,0.756,0,5,5,,
SW,PLTR,Palantir,2025,5,2021,48,D,0.294,,0.006,,114.741,249.994,0.261,3.667,,2.333,,1,1,3.667,0.538,0.292,3,1,,
HW,LITE,Lumentum Holdings,2025,5,2021,47,D,0.093,,-0.001,0.084,13.588,,,2.333,,1,2.333,3.667,,,,,,,-0.250,3.667
HW,MU,Micron Technology,2025,5,2021,47,D,-0.031,,0.109,0.401,7,156.683,,1,,3.667,1,5,3,,,,,,-0.334,1
HW,NVDA,Nvidia,2025,5,2021,89,A,0.353,,0.467,0.036,22.176,53.673,,5,,5,3.667,2.333,5,,,,,,0.207,5
HW,PLTR,Palantir,2025,5,2021,55,D,0.294,,0.006,0.009,114.741,249.994,,3.667,,2.333,5,1,1,,,,,,-0.266,2.333
