Ticker,Company,Year,Revenue,EBIT,FCF,"CapEx 設備投資",SBC,"Shares Out(B) ( 発行株数)","Price株価","MktCap (B)時価総額"
LITE,Lumentum Holdings,2021,1.74,0.33,0.64,0.095,0,,,
LITE,Lumentum Holdings,2022,1.71,0.31,0.37,0.091,0,,,
LITE,Lumentum Holdings,2023,1.77,-0.03,0.05,0.128,0,,,
LITE,Lumentum Holdings,2024,1.36,-0.34,-0.11,0.137,0,,,
LITE,Lumentum Holdings,2025,1.65,-0.18,-0.11,0.231,0,,316,22.42
MU,Micron Technology,2021,27.7,6.84,2.44,10.03,,,,
MU,Micron Technology,2022,30.76,9.77,3.11,12.07,0,,,
MU,Micron Technology,2023,15.54,-5.19,-6.12,7.68,0,,,
MU,Micron Technology,2024,25.11,1.23,0.12,8.39,0,,,
MU,Micron Technology,2025,37.38,10.01,1.67,15.857,0,,232,261.66
PLTR,Palantir,2021,1.54,-0.41,0.32,0.013,0.78,,,
PLTR,Palantir,2022,1.91,-0.16,0.18,0.04,0.57,,,
PLTR,Palantir,2023,2.23,0.12,0.7,0.015,0.48,,,
PLTR,Palantir,2024,2.87,0.31,1.14,0.013,0.69,,,
PLTR,Palantir,2025,3.9,0.85,1.79,0.023,0.77,,188,447.49
NVDA,Nvidia,2021,26.91,10.04,8.13,0.976,0,,,
NVDA,Nvidia,2022,26.97,5.58,3.81,1.83,0,,,
NVDA,Nvidia,2023,60.92,32.97,27.02,1.07,0,,,
NVDA,Nvidia,2024,130.5,81.45,60.85,3.24,0,,,
NVDA,Nvidia,2025,187.14,110.12,77.32,5.83,0,,170.94,4150
